ID	levelID	name	photo	score	unlocked
0	0	abc	abc	0	TRUE
1	0	abc	abc	0	TRUE
2	1	number	number	0	TRUE
3	1	body	body	0	FALSE
4	1	color	color	0	FALSE
5	1	food&drinks	food&drinks	0	FALSE
6	1	fruits	fruits	0	FALSE
7	2	action	action	0	TRUE
8	2	body	body2	0	FALSE
9	2	food&drinks	food&drinks2	0	FALSE
10	2	livingroom	livingroom	0	FALSE
11	3	game&sport	game&sport	0	TRUE
12	3	jobs	jobs	0	FALSE
13	3	toys	toys	0	FALSE
14	3	technology	technology	0	FALSE
15	1	clothes	clothes	0	FALSE
16	1	school	school	0	FALSE
17	1	animals	animals	0	FALSE
18	1	vehicle	vehicle	0	FALSE
19	2	kitchen	kitchen	0	FALSE
20	2	bathroom	bathroom	0	FALSE
21	2	bedroom	bedroom	0	FALSE
22	2	animals	animals2	0	FALSE
23	2	nature	nature2	0	FALSE
24	3	fruits	fruits3	0	FALSE
25	3	city	city	0	FALSE
26	3	instrument	instrument	0	FALSE
27	3	animals	animals3	0	FALSE
28	3	nature	nature3	0	FALSE
